Div,MatchDate,Time,HomeTeam,AwayTeam,p_H,p_D,p_A,p_O25,p_U25,sel,p,odds_max,odds_avg,edge,sospetta,stake
E0,2026-08-31,20:00,Aston Villa,Arsenal,0.2044542026371434,0.2577616609216069,0.5377841364412498,0.5104230612523636,0.48957693874763647,Under 2.5,0.48957693874763647,2.1,2.0,0.028111571370036614,False,6.39
I1,2026-08-31,17:30,Lecce,Roma,0.1665712031357827,0.2307242530050297,0.6027045438591877,0.4906827097605337,0.5093172902394664,Over 2.5,0.4906827097605337,2.1,2.04,0.030433690497120747,False,6.92
SP1,2026-08-31,18:30,Osasuna,Getafe,0.48573277209461996,0.28664600518003636,0.2276212227253438,0.3448337914427837,0.6551662085572164,Over 2.5,0.3448337914427837,3.0,2.86,0.0345013743283511,False,4.31
I1,2026-08-31,19:45,Atalanta,Bologna,0.5045085002668206,0.2425685624870095,0.2529229372461699,0.5460732336473132,0.4539267663526868,2,0.2529229372461699,4.1,3.95,0.03698404270929645,False,2.98
I1,2026-08-31,19:45,Atalanta,Bologna,0.5045085002668206,0.2425685624870095,0.2529229372461699,0.5460732336473132,0.4539267663526868,Over 2.5,0.5460732336473132,1.95,1.87,0.06484280561226075,False,10.0
E0,2026-08-31,20:00,Aston Villa,Arsenal,0.2044542026371434,0.2577616609216069,0.5377841364412498,0.5104230612523636,0.48957693874763647,X,0.2577616609216069,4.2,4.11,0.08259897587074905,False,6.45
SP1,2026-08-31,18:30,Osasuna,Getafe,0.48573277209461996,0.28664600518003636,0.2276212227253438,0.3448337914427837,0.6551662085572164,1,0.48573277209461996,2.26,2.2,0.09775606493384092,False,10.0
