Div,MatchDate,Time,HomeTeam,AwayTeam,p_H,p_D,p_A,p_O25,p_U25,sel,p,odds_max,odds_avg,edge,sospetta,stake
E0,2026-08-31,20:00,Aston Villa,Arsenal,0.2044542026371434,0.2577616609216069,0.5377841364412498,0.5104230612523636,0.48957693874763647,1,0.2044542026371434,6.5,5.99,0.32895231714143214,True,0.0
E0,2026-08-31,20:00,Aston Villa,Arsenal,0.2044542026371434,0.2577616609216069,0.5377841364412498,0.5104230612523636,0.48957693874763647,X,0.2577616609216069,4.2,4.11,0.08259897587074905,False,6.45
E0,2026-08-31,20:00,Aston Villa,Arsenal,0.2044542026371434,0.2577616609216069,0.5377841364412498,0.5104230612523636,0.48957693874763647,2,0.5377841364412498,1.55,1.52,-0.16643458851606285,False,0.0
E0,2026-08-31,20:00,Aston Villa,Arsenal,0.2044542026371434,0.2577616609216069,0.5377841364412498,0.5104230612523636,0.48957693874763647,Over 2.5,0.5104230612523636,1.83,1.75,-0.06592579790817465,False,0.0
E0,2026-08-31,20:00,Aston Villa,Arsenal,0.2044542026371434,0.2577616609216069,0.5377841364412498,0.5104230612523636,0.48957693874763647,Under 2.5,0.48957693874763647,2.1,2.0,0.028111571370036614,False,6.39
I1,2026-08-31,17:30,Lecce,Roma,0.1665712031357827,0.2307242530050297,0.6027045438591877,0.4906827097605337,0.5093172902394664,1,0.1665712031357827,8.0,7.28,0.33256962508626153,True,0.0
I1,2026-08-31,17:30,Lecce,Roma,0.1665712031357827,0.2307242530050297,0.6027045438591877,0.4906827097605337,0.5093172902394664,X,0.2307242530050297,4.2,4.05,-0.030958137378875317,False,0.0
I1,2026-08-31,17:30,Lecce,Roma,0.1665712031357827,0.2307242530050297,0.6027045438591877,0.4906827097605337,0.5093172902394664,2,0.6027045438591877,1.5,1.46,-0.09594318421121839,False,0.0
I1,2026-08-31,17:30,Lecce,Roma,0.1665712031357827,0.2307242530050297,0.6027045438591877,0.4906827097605337,0.5093172902394664,Over 2.5,0.4906827097605337,2.1,2.04,0.030433690497120747,False,6.92
I1,2026-08-31,17:30,Lecce,Roma,0.1665712031357827,0.2307242530050297,0.6027045438591877,0.4906827097605337,0.5093172902394664,Under 2.5,0.5093172902394664,1.78,1.73,-0.09341522337374986,False,0.0
I1,2026-08-31,19:45,Atalanta,Bologna,0.5045085002668206,0.2425685624870095,0.2529229372461699,0.5460732336473132,0.4539267663526868,1,0.5045085002668206,1.91,1.88,-0.03638876449037276,False,0.0
I1,2026-08-31,19:45,Atalanta,Bologna,0.5045085002668206,0.2425685624870095,0.2529229372461699,0.5460732336473132,0.4539267663526868,X,0.2425685624870095,3.75,3.55,-0.09036789067371431,False,0.0
I1,2026-08-31,19:45,Atalanta,Bologna,0.5045085002668206,0.2425685624870095,0.2529229372461699,0.5460732336473132,0.4539267663526868,2,0.2529229372461699,4.1,3.95,0.03698404270929645,False,2.98
I1,2026-08-31,19:45,Atalanta,Bologna,0.5045085002668206,0.2425685624870095,0.2529229372461699,0.5460732336473132,0.4539267663526868,Over 2.5,0.5460732336473132,1.95,1.87,0.06484280561226075,False,10.0
I1,2026-08-31,19:45,Atalanta,Bologna,0.5045085002668206,0.2425685624870095,0.2529229372461699,0.5460732336473132,0.4539267663526868,Under 2.5,0.4539267663526868,1.91,1.86,-0.13299987626636822,False,0.0
SP1,2026-08-31,18:30,Osasuna,Getafe,0.48573277209461996,0.28664600518003636,0.2276212227253438,0.3448337914427837,0.6551662085572164,1,0.48573277209461996,2.26,2.2,0.09775606493384092,False,10.0
SP1,2026-08-31,18:30,Osasuna,Getafe,0.48573277209461996,0.28664600518003636,0.2276212227253438,0.3448337914427837,0.6551662085572164,X,0.28664600518003636,3.0,2.94,-0.14006198445989093,False,0.0
SP1,2026-08-31,18:30,Osasuna,Getafe,0.48573277209461996,0.28664600518003636,0.2276212227253438,0.3448337914427837,0.6551662085572164,2,0.2276212227253438,3.75,3.64,-0.14642041477996082,False,0.0
SP1,2026-08-31,18:30,Osasuna,Getafe,0.48573277209461996,0.28664600518003636,0.2276212227253438,0.3448337914427837,0.6551662085572164,Over 2.5,0.3448337914427837,3.0,2.86,0.0345013743283511,False,4.31
SP1,2026-08-31,18:30,Osasuna,Getafe,0.48573277209461996,0.28664600518003636,0.2276212227253438,0.3448337914427837,0.6551662085572164,Under 2.5,0.6551662085572164,1.42,1.39,-0.06966398384875272,False,0.0
SP1,2026-08-31,20:30,Barcelona,Vallecano,0.7666886013006169,0.13840527188157092,0.09490612681781226,0.7192692191055987,0.28073078089440134,1,0.7666886013006169,1.2,1.16,-0.07997367843925973,False,0.0
SP1,2026-08-31,20:30,Barcelona,Vallecano,0.7666886013006169,0.13840527188157092,0.09490612681781226,0.7192692191055987,0.28073078089440134,X,0.13840527188157092,8.0,7.46,0.10724217505256739,True,0.0
SP1,2026-08-31,20:30,Barcelona,Vallecano,0.7666886013006169,0.13840527188157092,0.09490612681781226,0.7192692191055987,0.28073078089440134,2,0.09490612681781226,15.0,14.04,0.4235919022671839,True,0.0
SP1,2026-08-31,20:30,Barcelona,Vallecano,0.7666886013006169,0.13840527188157092,0.09490612681781226,0.7192692191055987,0.28073078089440134,Over 2.5,0.7192692191055987,1.36,1.33,-0.021793862016385668,False,0.0
SP1,2026-08-31,20:30,Barcelona,Vallecano,0.7666886013006169,0.13840527188157092,0.09490612681781226,0.7192692191055987,0.28073078089440134,Under 2.5,0.28073078089440134,3.25,3.16,-0.08762496209319559,False,0.0
